City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Windspeed (mph),Country,Date
Belmonte,-15.8631,-38.8828,70.3,85,5,5.46,BR,1627341898
Opuwo,-18.0607,13.84,59.04,34,0,7.05,NA,1627341944
Shudayag,63.5266,53.6058,44.47,94,50,8.79,RU,1627341945
Sørland,67.667,12.6934,53.13,93,16,11.43,NO,1627341945
Honiara,-9.4333,159.95,80.01,82,100,6.67,SB,1627341945
Zhangaözen,43.3,52.8,82.9,25,32,18.03,KZ,1627341945
Jardim,-21.4803,-56.1381,77.32,37,68,4.52,BR,1627341946
Shakawe,-18.3667,21.85,47.32,47,3,6.13,BW,1627341946
Killybegs,54.6333,-8.45,58.44,92,100,5.32,IE,1627341946
Juegang,32.3174,121.1855,77.7,96,100,27.94,CN,1627341947
Novocheremshansk,54.3571,50.1666,57.07,71,36,5.73,RU,1627341947
Energetik,51.7445,58.7934,56.89,59,5,6.73,RU,1627341947
Castro,-24.7911,-50.0119,58.44,65,4,4.41,BR,1627341928
Belyy Yar,53.6039,91.3903,66.09,88,0,0.0,RU,1627341897
Nova Odesa,47.3078,31.7851,77.58,41,57,6.53,UA,1627341948
Solnechnyy,50.7214,136.6319,68.36,96,100,1.07,RU,1627341948
Tuy Hoa,13.0833,109.3,82.8,68,27,16.87,VN,1627341948
Jambi City,-1.6,103.6167,69.67,90,19,2.89,ID,1627341949
Chokwé,-24.5333,32.9833,57.42,88,0,3.69,MZ,1627341949
Conil,44.9673,3.7177,48.9,93,6,1.9,FR,1627341949
Galveston,29.3669,-94.9669,99.14,68,1,1.99,US,1627341949
Coquimbo,-29.9533,-71.3436,55.13,87,0,6.91,CL,1627341626
Brae,60.3964,-1.353,58.91,96,87,13.89,GB,1627341910
Broome,42.2506,-75.833,81.5,54,1,6.91,US,1627341854
Ayan,56.45,138.1667,68.99,59,4,8.01,RU,1627341950
Saint-Philippe,-21.3585,55.7679,63.95,79,66,11.88,RE,1627341536
Isangel,-19.55,169.2667,78.91,65,75,5.75,VU,1627341674
Port Lincoln,-34.7333,135.8667,56.48,49,37,24.76,AU,1627341716
Barrow,71.2906,-156.7887,48.22,87,90,8.05,US,1627341819
Lompoc,34.6391,-120.4579,77.77,76,75,6.91,US,1627341880
Zhengjiatun,43.5064,123.5064,79.34,71,53,15.03,CN,1627341951
Esperance,-33.8667,121.9,56.23,64,34,31.9,AU,1627341848
Margate,51.3813,1.3862,65.03,90,45,1.99,GB,1627341951
Boa Vista,2.8197,-60.6733,82.38,74,75,10.36,BR,1627341914
Linköping,58.4109,15.6216,68.41,88,90,4.61,SE,1627341952
Huarmey,-10.0681,-78.1522,66.45,80,22,11.81,PE,1627341952
Constitución,-35.3333,-72.4167,47.52,67,0,13.18,CL,1627341793
Leningradskiy,69.3833,178.4167,41.95,79,63,7.27,RU,1627341868
Bandarbeyla,9.4942,50.8122,77.07,75,21,25.81,SO,1627341952
Port Alfred,-33.5906,26.891,61.5,33,100,10.25,ZA,1627341817
Tura,25.5198,90.2201,75.7,95,100,3.78,IN,1627341892
Grindavik,63.8424,-22.4338,49.95,93,90,6.91,IS,1627341869
Grand Gaube,-20.0064,57.6608,68.4,86,37,5.01,MU,1627341953
Charyshskoye,51.3978,83.5598,59.02,98,100,3.18,RU,1627341953
Havre-St-Pierre,50.2334,-63.5986,64.76,88,40,3.44,CA,1627341954
Bonavista,48.6499,-53.1147,60.8,80,17,14.07,CA,1627341882
Tuni,17.35,82.55,80.65,80,75,8.77,IN,1627341954
Mogadishu,2.0371,45.3438,75.99,82,82,21.74,SO,1627341954
Walker,30.7335,-95.5669,98.35,36,1,5.75,US,1627341955
Riberalta,-10.9833,-66.1,88.0,58,20,0.0,BO,1627341955
Lebu,-37.6167,-73.65,47.16,71,12,16.89,CL,1627341821
Port Augusta,-32.5,137.7667,62.71,42,16,24.4,AU,1627341687
Mufulira,-12.5498,28.2407,36.01,59,100,7.11,ZM,1627341955
Pāsighāt,28.0667,95.3333,76.55,98,100,3.4,IN,1627341956
Sistranda,63.7256,8.834,69.76,71,60,8.3,NO,1627341956
Ancud,-41.8697,-73.8203,44.13,76,54,6.69,CL,1627341747
Ambovombe,-25.1667,46.0833,63.52,69,24,15.64,MG,1627341956
Mount Gambier,-37.8333,140.7667,49.05,64,35,13.35,AU,1627341672
Pahrump,36.2083,-115.9839,89.06,76,95,1.99,US,1627341705
Nikolskoye,59.7035,30.7861,63.01,69,10,3.22,RU,1627341729
Casas Grandes,30.3667,-107.95,69.44,77,83,5.26,MX,1627341957
Glotovka,53.9491,46.7042,59.27,66,47,4.99,RU,1627341957
Ballina,-28.8667,153.5667,55.78,56,0,4.09,AU,1627341762
Chimoré,-16.9833,-65.1333,83.23,45,71,1.61,BO,1627341958
Arman',59.7,150.1667,60.8,76,89,6.87,RU,1627341958
Norden,53.6,7.2,65.97,93,31,8.84,DE,1627341958
Cayenne,4.9333,-52.3333,82.09,81,0,3.0,GF,1627341616
Sioux Lookout,50.1001,-91.917,66.58,72,90,5.75,CA,1627341849
San Felipe,10.3399,-68.7425,74.89,90,62,2.62,VE,1627341641
Scarborough,54.2797,-0.4044,63.54,88,9,7.74,GB,1627341778
Asău,46.4333,26.4,66.96,79,56,5.12,RO,1627341851
Tiarei,-17.5333,-149.3333,84.22,73,50,6.76,PF,1627341959
Kuala Terengganu,5.3302,103.1408,76.95,88,20,4.61,MY,1627341959
Chuka,-0.3332,37.6459,57.25,73,51,3.29,KE,1627341732
Nouadhibou,20.931,-17.0347,69.78,88,0,21.85,MR,1627341576
Hesperia,34.4264,-117.3009,88.83,33,68,10.0,US,1627341960
La Ronge,55.1001,-105.2842,75.45,35,20,5.75,CA,1627341769
Pindiga,9.9833,10.9333,69.37,98,100,6.29,NG,1627341960
Longyearbyen,78.2186,15.6401,42.64,87,75,2.3,SJ,1627341668
Jacmel,18.2342,-72.5347,85.84,78,65,3.56,HT,1627341718
Kumul,42.8,93.45,82.4,22,4,12.17,CN,1627341845
Palu,-0.8917,119.8707,76.62,89,62,3.11,ID,1627341947
Padang,-0.9492,100.3543,77.05,89,21,3.87,ID,1627341898
Kangaatsiaq,68.3065,-53.4641,48.47,85,100,13.53,GL,1627341961
Srīvardhan,18.0333,73.0167,80.11,85,76,17.34,IN,1627341961
Calama,-22.4667,-68.9333,54.09,14,0,10.36,CL,1627341962
Prince Rupert,54.3161,-130.3201,56.89,91,90,6.91,CA,1627341797
Champerico,14.3,-91.9167,87.76,69,87,4.43,GT,1627341962
Breytovo,58.2993,37.8617,63.12,68,54,6.17,RU,1627341963
Dombarovskiy,50.7587,59.5386,65.7,46,99,4.99,RU,1627341963
Kundiawa,-6.0167,144.9667,69.85,80,100,0.2,PG,1627341963
Sterling,39.0062,-77.4286,87.37,71,75,1.99,US,1627341627
Qaanaaq,77.484,-69.3632,42.08,80,100,9.95,GL,1627341827
Kamen'-Rybolov,44.7481,132.0403,76.98,75,99,7.7,RU,1627341964
Kavieng,-2.5744,150.7967,83.66,69,42,7.54,PG,1627341791
Turbat,26.0023,63.044,83.68,77,48,5.14,PK,1627341964
Villa María,-32.4075,-63.2402,50.81,50,8,8.86,AR,1627341965
Roebourne,-20.7833,117.1333,67.59,71,57,7.4,AU,1627341965
Haines Junction,60.7522,-137.5108,57.15,77,100,2.3,CA,1627341618
Dhidhdhoo,6.8833,73.1,81.66,77,100,13.35,MV,1627341965
São João da Barra,-21.6403,-41.0511,71.91,80,0,17.6,BR,1627341801
Kruisfontein,-34.0033,24.7314,66.88,27,68,15.08,ZA,1627341843
Kyzyl-Suu,42.3414,78.0056,66.97,30,0,6.35,KG,1627341725
Yārāda,17.65,83.2667,84.52,89,75,9.22,IN,1627341911
Soteapan,18.2333,-94.8667,82.83,74,71,4.5,MX,1627341966
Royan,45.6285,-1.0281,66.18,81,100,3.71,FR,1627341966
Lata,40.1629,-8.3327,63.01,98,3,2.73,PT,1627341967
Mosetse,-20.75,26.65,48.13,66,0,14.79,BW,1627341967
Laas,46.6166,10.7002,63.48,86,60,2.71,IT,1627341719
Córdoba,-31.4135,-64.1811,54.25,47,0,3.0,AR,1627341751
Myitkyina,25.3833,97.4,75.22,99,93,0.87,MM,1627341967
Half Moon Bay,37.4636,-122.4286,93.63,65,75,1.99,US,1627341967
Aksha,50.2814,113.2867,57.7,89,99,2.37,RU,1627341968
Tamandaré,-8.7597,-35.1047,74.12,88,36,8.48,BR,1627341968
Podareš,41.6139,22.5422,69.6,57,15,4.18,MK,1627341969
Harper,4.375,-7.7169,76.23,77,95,10.04,LR,1627341969
Saint-François,46.4154,3.9054,61.41,90,0,0.0,FR,1627341969
Katherine,-14.4667,132.2667,68.32,64,92,3.44,AU,1627341878
Shimoda,34.6667,138.95,80.71,88,100,3.6,JP,1627341802
Piaçabuçu,-10.4056,-36.4344,72.86,89,8,10.18,BR,1627341970
Touros,-5.1989,-35.4608,72.5,83,2,11.14,BR,1627341850
Itoman,26.1247,127.6694,82.78,89,40,11.5,JP,1627341970
Avera,33.194,-82.5271,96.91,49,11,5.75,US,1627341768
Saint-Joseph,-21.3667,55.6167,62.96,78,45,12.17,RE,1627341653
Puerto Escondido,15.85,-97.0667,86.83,62,90,6.91,MX,1627341970
Great Yarmouth,52.6083,1.7305,64.45,92,85,8.99,GB,1627341971
São Filipe,14.8961,-24.4956,75.18,82,24,10.04,CV,1627341692
Baní,18.2833,-70.3333,81.86,80,99,9.55,DO,1627341747
Abnūb,27.2696,31.1511,80.82,25,0,7.78,EG,1627341971
Lavrentiya,65.5833,-171.0,45.66,98,100,3.62,RU,1627341855
Cidreira,-30.1811,-50.2056,62.11,98,100,3.85,BR,1627341840
Fairbanks,64.8378,-147.7164,71.94,49,1,12.66,US,1627341853
Alice Springs,-23.7,133.8833,67.55,18,52,21.85,AU,1627341727
Marevo,57.3146,32.0804,60.66,70,0,4.54,RU,1627341972
Tsaratanana,-16.7833,47.65,62.06,75,40,11.5,MG,1627341972
Tshela,-4.9833,12.9333,66.69,94,100,1.32,CD,1627341973
Kongolo,-5.3833,27.0,70.86,38,65,4.5,CD,1627341973
Adrar,20.5022,-10.0711,93.18,17,2,15.9,MR,1627341973
Sokoni,-6.4333,39.55,75.56,76,13,19.3,TZ,1627341858
Port-Gentil,-0.7193,8.7815,76.96,78,75,8.05,GA,1627341749
Kabo,7.6994,18.629,71.08,94,100,1.32,CF,1627341974
Diffa,13.3154,12.6113,76.57,83,93,8.25,NE,1627341974
Sembakung,3.8167,117.25,76.93,98,94,1.72,ID,1627341974
Verkhnyaya Sinyachikha,57.976,61.6673,50.76,88,17,7.02,RU,1627341975
Mayor Pablo Lagerenza,-19.9309,-60.7718,82.94,30,0,4.79,PY,1627341975
Tashtyp,52.7939,89.8983,61.68,95,86,3.96,RU,1627341975
Aitape,-3.1374,142.3475,82.2,74,49,4.99,PG,1627341669
Chumikan,54.7183,135.315,69.08,60,100,4.52,RU,1627341976
Mīzan Teferī,6.9833,35.5833,58.86,97,100,2.48,ET,1627341976
Hobyo,5.3505,48.5268,76.48,74,46,22.32,SO,1627341976
Verkhnyaya Toyma,62.2349,44.9985,43.3,83,43,4.88,RU,1627341977
Maïné Soroa,13.2114,12.0241,76.15,82,100,9.17,NE,1627341679
Tambopata,-12.7333,-69.1833,83.1,47,38,1.19,PE,1627341977
Rio Pardo de Minas,-15.6097,-42.5397,63.72,56,27,5.75,BR,1627341977
Horizontina,-27.6258,-54.3078,64.6,87,100,4.56,BR,1627341977
Havelock,34.8791,-76.9013,85.05,85,65,5.99,US,1627341978
Mingora,34.7758,72.3625,82.47,72,96,2.35,PK,1627341978
Marechal Cândido Rondon,-24.5561,-54.0567,67.26,60,63,4.38,BR,1627341978
Virginia Beach,36.8529,-75.978,82.45,84,90,10.36,US,1627341760
Goderich,43.7501,-81.7165,80.91,57,0,2.3,CA,1627341760
Buraidah,26.326,43.975,97.25,15,43,12.75,SA,1627341979
Sinop Province,41.7711,34.8709,63.52,88,100,6.64,TR,1627341700
Ostrovnoy,68.0531,39.5131,45.99,85,100,23.51,RU,1627341896
Dubbo,-32.25,148.6167,48.33,81,26,4.61,AU,1627341642
Nome,64.5011,-165.4064,50.07,87,90,9.22,US,1627341980
Yar-Sale,66.8333,70.8333,47.01,79,15,7.54,RU,1627341846
Daultala,33.1925,73.1413,81.63,71,100,14.07,PK,1627341980
Vardø,70.3705,31.1107,46.42,86,57,9.22,NO,1627341886
Evensk,61.95,159.2333,53.08,87,96,0.83,RU,1627341829
Colares,38.7992,-9.4469,68.29,75,0,11.99,PT,1627341980
Paciran,-6.8767,112.3761,71.71,87,4,5.53,ID,1627341981
Nara,34.6851,135.8049,85.98,94,86,6.91,JP,1627341873
Ronneby,56.21,15.276,66.7,100,90,11.5,SE,1627341981
Shunyi,40.125,116.6453,78.84,100,90,4.47,CN,1627341982
Barcelona,41.3888,2.159,76.96,76,0,1.01,ES,1627341773
Lorengau,-2.0226,147.2712,83.34,75,80,3.42,PG,1627341750
Okhotsk,59.3833,143.3,67.8,69,0,7.54,RU,1627341804
Ixtapa,20.7,-105.2,87.22,74,75,6.91,MX,1627341844
Artigas,-30.4,-56.4667,55.42,87,99,16.17,UY,1627341982
Nizhniy Tsasuchey,50.5167,115.1333,60.42,81,41,9.51,RU,1627341983
Port Blair,11.6667,92.75,81.66,85,100,19.08,IN,1627341676
Kaitangata,-46.2817,169.8464,45.97,80,68,7.92,NZ,1627341835
Acaraú,-2.8856,-40.12,79.38,79,31,19.17,BR,1627341983
Phayao,19.25,100.25,71.71,99,97,2.48,TH,1627341983
Ngunguru,-35.6167,174.5,60.17,68,7,16.42,NZ,1627341921
Carnarvon,-24.8667,113.6333,68.07,78,75,9.22,AU,1627341866
Onda,39.9667,-0.25,72.14,76,5,4.07,ES,1627341984
Algiers,36.7525,3.042,73.22,83,75,4.61,DZ,1627341920
Aquiraz,-3.9014,-38.3911,82.22,66,26,11.9,BR,1627341778
Charalá,6.2858,-73.1472,67.06,97,95,0.92,CO,1627341984
Sambava,-14.2667,50.1667,69.21,81,87,13.85,MG,1627341985
Vanimo,-2.6741,141.3028,80.98,72,68,5.14,PG,1627341863
Bubaque,11.2833,-15.8333,80.24,83,100,12.44,GW,1627341985
Ribeira Grande,38.5167,-28.7,70.95,89,14,13.06,PT,1627341820
Port Hardy,50.6996,-127.4199,62.78,77,75,10.36,CA,1627341673
Najrān,17.4924,44.1277,84.85,34,81,0.78,SA,1627341709
Vestmannaeyjar,63.4427,-20.2734,50.95,82,100,13.11,IS,1627341841
Sibu,2.3,111.8167,75.51,94,40,2.3,MY,1627341986
Sitka,57.0531,-135.33,62.49,72,40,6.91,US,1627341840
Burkburnett,34.0979,-98.5706,100.87,38,20,1.01,US,1627341788
College,64.8569,-147.8028,71.92,48,75,12.66,US,1627341700
Tinde,-3.8833,33.2,61.63,43,48,5.26,TZ,1627341986
Bud,39.447,-86.1758,87.78,50,0,5.32,US,1627341986
Port Macquarie,-31.4333,152.9167,59.9,60,1,3.94,AU,1627341987
Deputatsky,69.3,139.9,42.75,88,100,3.13,RU,1627341934
Rio Grande,-32.035,-52.0986,50.95,94,100,17.43,BR,1627341701
Puerto del Rosario,28.5004,-13.8627,73.15,83,20,11.5,ES,1627341763
Magrath,49.4167,-112.8686,91.72,23,21,10.36,CA,1627341987
Tigil',57.8,158.6667,56.84,95,100,18.72,RU,1627341988
Willowmore,-33.2926,23.4895,50.04,42,95,5.97,ZA,1627341988
Hamilton,39.1834,-84.5333,88.0,49,20,1.01,US,1627341779
Pravia,43.4906,-6.1508,64.69,82,75,0.0,ES,1627341988
Launceston,-41.45,147.1667,53.8,97,90,1.01,AU,1627341847
Bonthe,7.5264,-12.505,76.8,86,80,9.31,SL,1627341913
Ordu,40.9086,37.6845,64.9,93,79,6.06,TR,1627341989
Xichang,27.8964,102.2634,65.23,89,82,2.35,CN,1627341989
Dewā,27.0333,81.1667,82.4,84,100,2.71,IN,1627341990
Altamont,42.2068,-121.7372,96.78,25,1,1.01,US,1627341990
Gushikawa,26.3544,127.8686,81.99,89,75,12.66,JP,1627341990
Lüderitz,-26.6481,15.1594,63.5,53,0,4.16,NA,1627341863
Chiang Khong,20.2613,100.4046,75.52,100,99,0.94,TH,1627341991
Xinyu,27.8043,114.9334,79.65,79,9,9.01,CN,1627341991
Pangnirtung,66.1451,-65.7125,55.72,84,71,2.91,CA,1627341608
Almaznyy,48.0448,40.045,75.34,45,38,9.73,RU,1627341949
Mareeba,-17.0,145.4333,71.47,79,79,4.88,AU,1627341883
Manoel Urbano,-8.8389,-69.2597,83.7,53,92,3.96,BR,1627341991
Northam,51.0333,-4.2167,65.01,95,100,9.31,GB,1627341863
Kashgar,39.4547,75.9797,87.01,21,0,8.95,CN,1627341992
Yerköy,39.6381,34.4672,65.91,71,3,4.18,TR,1627341992
Airai,-8.9266,125.4092,60.19,52,32,2.77,TL,1627341830
